,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yearwise Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TEAMS,1996-97,,,,1997-98,,,,1998-99,,,,1999-00,,,,2000-01,,,,2001-02,,,,2002-03,,,,2003-04,,,,2004-05,,,,2005-06,,,,2006-07,,,,2007-08,,,,2008-09,,,,2009-10,,,,2010-11,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,
,,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points,3PM,3PA,3P%,3P% share in Total Points
,Atlanta Hawks,8,22.4,36,25.32,4.1,12.4,33.2,12.83,3.9,12.9,30.6,13.56,3.1,9.9,31.7,9.87,4.5,12.9,34.9,14.16,5.2,14.6,35.4,16.6,4.9,13.9,35.2,15.6,5.1,15.2,33.5,16.5,3.7,11.9,31.2,12,5.2,14.1,36.7,16.05,4.2,12.7,32.9,13.45,4.7,13.1,35.6,14.36,7.3,19.9,36.6,22.33,6.4,17.7,36,18.87,6.1,17.4,35.2,19.27,7.5,20.2,37,23.29,8.6,23.2,37.1,26.32,9.4,25.8,36.3,27.93,10,26.2,38,29.3,9.9,28.4,35,28.9,8.9,26.1,34.1,25.9,11.2,31,36,32.5,13,37,35.2,34.4,12,36.1,33.3,32.2
,Boston Celtics,5.7,16.2,35.1,16.99,5.1,15.2,33.2,15.96,5.5,15.2,36,17.75,5.1,15.4,33.1,15.41,4.4,13.2,33.3,14.33,8.5,23.7,35.9,26.5,8.8,26.3,33.4,28.5,6.7,19.5,34.6,21.1,5.3,15.3,34.9,15.7,5.7,15.7,36.2,17.45,5.7,15.6,36.7,17.85,7.3,19.1,38.1,21.8,6.6,16.5,39.7,19.63,6.1,17.5,34.8,18.44,5,13.6,36.5,15.55,5.5,15,36.7,17.97,6.1,17.2,35.8,18.97,7,21.1,33.3,21.82,8,24.6,32.7,23.7,8.7,26.1,33.5,24.7,12,33.4,35.9,33.3,11.5,30.4,37.7,33.2,12.6,34.5,36.5,33.6,12.6,34.5,36.4,33.2
,Brooklyn Nets,5.9,16.7,35.3,18.21,3.8,11.4,33.1,11.45,4.5,13.6,33.1,14.78,5.8,16.8,34.7,17.76,4.8,13.6,35.1,16.24,4.9,14.6,33.8,15.3,4.2,12.7,33.2,13.2,4.6,13.7,33.6,15.3,5.3,14.7,36.2,17.4,5.8,17.6,33,18.56,7.4,20.4,36.3,22.75,6.1,17.4,34.8,19.11,8,21.2,37.6,24.47,4.6,14.5,31.8,14.93,5.6,16.3,34.3,17.84,7.7,22.4,34.2,24.81,7.7,21.5,35.7,23.84,8.6,23.4,36.9,26.19,5,14.9,33.2,15.3,5.5,16.4,33.8,16.1,7.3,21,34.9,20.7,8,22.5,35.7,21.9,10.1,28.7,35.1,26.9,13.3,39.7,33.6,35.2
,Chicago Bulls,6.4,17.1,37.3,18.63,3.8,11.7,32.3,11.79,3.5,12.2,29,12.83,4.1,12.6,32.9,14.51,7.2,19.9,36.3,22.84,3.7,10.6,34.6,12.4,4.3,12.2,35,13.6,5.2,15.3,34.2,17.4,6.2,17.5,35.7,19.7,6.8,18,37.9,20.86,5.9,15.1,38.8,17.92,5.8,15.9,36.3,17.89,6,15.8,38.1,17.62,4.3,13,33,13.23,6.2,17.3,36.1,18.87,6.3,16.9,37.5,19.63,5.4,15.4,35.3,17.39,6.2,17.8,34.8,19.85,6.1,19.1,31.8,19.4,10.6,29.4,36.2,30.8,10,28.6,35.1,28.6,10,27.2,36.9,27.7,11.9,33.9,35.1,32.2,12.1,34.3,35.2,35.3
,Cleveland Cavaliers,5.9,15.7,37.6,20.23,3.6,9.8,37.2,11.67,3.6,10.7,34.1,12.5,4.2,11.2,37.3,12.99,4,11.5,34.3,13.09,4.7,12.5,37.7,14.8,3.6,10.9,32.7,11.8,3,9.6,31.4,9.7,3.7,11,33.2,11.5,6.1,17.9,33.9,18.75,6,17.1,35.2,18.6,6.7,18.8,35.8,20.86,8,20.4,39.3,23.93,7.3,19.3,38.1,21.44,6.2,18.2,34.2,19.48,6.7,19.3,34.6,21.61,6.7,19.3,34.6,20.83,7.1,20,35.6,21.69,7.9,22.3,35.3,23.5,7.9,21.4,37.1,23.3,7.6,22.3,34,22.2,11,31.1,35.5,32.1,9.1,25.9,35.1,26,12.2,35.1,34.8,34.3
,Dallas Mavericks,5.2,16,32.6,17.22,5.1,14.4,35.7,16.74,4,11.9,33.9,13.1,6.3,16.2,39.1,18.64,6.2,17.6,35.5,19.26,7.6,20.1,37.8,21.7,7.8,20.3,38.1,22.7,6.2,17.8,34.8,17.7,5.6,15.5,36.4,16.4,5.1,13.6,37.4,15.44,6.5,17.1,38.1,19.5,6,17.1,35.2,17.93,7,19.9,35,20.65,6.8,18.3,37.2,20,7.9,21.6,36.5,23.66,7.5,22.2,33.9,23.49,7.4,19.9,37.2,21.96,8.8,22.9,38.4,25.19,10.1,27.5,36.7,29.4,10.7,29.6,36.2,30.8,13,33.9,38.4,35.4,12,32.1,37.2,32.5,10.3,29.1,35.5,29.6,11.2,31.8,35.1,31.4
