Teams,Year,3PM,3PA,3P%,3P% share in Total Points,,,,,
Atlanta Hawks,2013-14,9.4,25.8,36.3,27.93,,,,,
Atlanta Hawks,2014-15,10,26.2,38,29.3,,,,,
Atlanta Hawks,2015-16,9.9,28.4,35,28.9,,,,,
Atlanta Hawks,2016-17,8.9,26.1,34.1,25.9,,,,,
Atlanta Hawks,2017-18,11.2,31,36,32.5,,,,,
Atlanta Hawks,2018-19,13,37,35.2,34.4,,,,,
Atlanta Hawks,2019-20,12,36.1,33.3,32.2,,,,,
Boston Celtics,2013-14,7,21.1,33.3,21.82,,,,,
Boston Celtics,2014-15,8,24.6,32.7,23.7,,,,,
Boston Celtics,2015-16,8.7,26.1,33.5,24.7,,,,,
Boston Celtics,2016-17,12,33.4,35.9,33.3,,,,,
Boston Celtics,2017-18,11.5,30.4,37.7,33.2,,,,,
Boston Celtics,2018-19,12.6,34.5,36.5,33.6,,,,,
Boston Celtics,2019-20,12.6,34.5,36.4,33.2,,,,,
Brooklyn Nets,2013-14,8.6,23.4,36.9,26.19,,,,,
Brooklyn Nets,2014-15,5,14.9,33.2,15.3,,,,,
Brooklyn Nets,2015-16,5.5,16.4,33.8,16.1,,,,,
Brooklyn Nets,2016-17,7.3,21,34.9,20.7,,,,,
Brooklyn Nets,2017-18,8,22.5,35.7,21.9,,,,,
Brooklyn Nets,2018-19,10.1,28.7,35.1,26.9,,,,,
Brooklyn Nets,2019-20,13.3,39.7,33.6,35.2,,,,,
Chicago Bulls,2013-14,6.2,17.8,34.8,19.85,,,,,
Chicago Bulls,2014-15,6.1,19.1,31.8,19.4,,,,,
Chicago Bulls,2015-16,10.6,29.4,36.2,30.8,,,,,
Chicago Bulls,2016-17,10,28.6,35.1,28.6,,,,,
Chicago Bulls,2017-18,10,27.2,36.9,27.7,,,,,
Chicago Bulls,2018-19,11.9,33.9,35.1,32.2,,,,,
Chicago Bulls,2019-20,12.1,34.3,35.2,35.3,,,,,
Cleveland Cavaliers,2013-14,7.1,20,35.6,21.69,,,,,
Cleveland Cavaliers,2014-15,7.9,22.3,35.3,23.5,,,,,
Cleveland Cavaliers,2015-16,7.9,21.4,37.1,23.3,,,,,
Cleveland Cavaliers,2016-17,7.6,22.3,34,22.2,,,,,
Cleveland Cavaliers,2017-18,11,31.1,35.5,32.1,,,,,
Cleveland Cavaliers,2018-19,9.1,25.9,35.1,26,,,,,
Cleveland Cavaliers,2019-20,12.2,35.1,34.8,34.3,,,,,
Dallas Mavericks,2013-14,8.8,22.9,38.4,25.19,,,,,
Dallas Mavericks,2014-15,10.1,27.5,36.7,29.4,,,,,
Dallas Mavericks,2015-16,10.7,29.6,36.2,30.8,,,,,
Dallas Mavericks,2016-17,13,33.9,38.4,35.4,,,,,
Dallas Mavericks,2017-18,12,32.1,37.2,32.5,,,,,
Dallas Mavericks,2018-19,10.3,29.1,35.5,29.6,,,,,
Dallas Mavericks,2019-20,11.2,31.8,35.1,31.4,,,,,
Denver Nuggets,2013-14,8.6,23.9,35.8,24.72,,,,,
Denver Nuggets,2014-15,8.9,25.4,35.2,25.4,,,,,
Denver Nuggets,2015-16,9.8,28.6,34.4,28.7,,,,,
Denver Nuggets,2016-17,10.7,30.2,35.5,32.8,,,,,
Denver Nuggets,2017-18,11.8,32.8,36,34.6,,,,,
Denver Nuggets,2018-19,12.5,36.6,34,34.4,,,,,
Denver Nuggets,2019-20,15.1,41.3,36.7,38.7,,,,,
Detroit Pistons,2013-14,6.2,19.3,32.1,18.42,,,,,
Detroit Pistons,2014-15,8,24.8,32.5,23.6,,,,,
Detroit Pistons,2015-16,8,23.7,33.8,23.6,,,,,
Detroit Pistons,2016-17,10.6,28.8,36.8,28.5,,,,,
Detroit Pistons,2017-18,11.5,30.9,37.1,31.4,,,,,
Detroit Pistons,2018-19,11,31.4,35.1,29.8,,,,,
Detroit Pistons,2019-20,11,30.6,35.9,29.6,,,,,
Golden State Warriors,2013-14,9.4,24.8,38,27.04,,,,,
Golden State Warriors,2014-15,8.6,24.9,34.4,26.2,,,,,
Golden State Warriors,2015-16,9,26.2,34.5,26.5,,,,,
Golden State Warriors,2016-17,7.7,23.4,33,22.8,,,,,
Golden State Warriors,2017-18,10.8,28.9,37.3,31.2,,,,,
Golden State Warriors,2018-19,12.1,34.8,34.8,33.9,,,,,
Golden State Warriors,2019-20,12,32.7,36.7,33.6,,,,,
Houston Rockets,2013-14,9.5,26.6,35.8,26.47,,,,,
Houston Rockets,2014-15,10.8,27,39.8,29.5,,,,,
Houston Rockets,2015-16,13.1,31.6,41.6,34.2,,,,,
Houston Rockets,2016-17,12,31.2,38.3,31.1,,,,,
Houston Rockets,2017-18,11.3,28.9,39.1,29.9,,,,,
Houston Rockets,2018-19,13.3,34.4,38.5,33.9,,,,,
Houston Rockets,2019-20,10.4,31.3,33.4,29.4,,,,,
Indiana Pacers,2013-14,6.7,18.8,35.7,20.79,,,,,
Indiana Pacers,2014-15,11.4,32.7,34.8,32.9,,,,,
Indiana Pacers,2015-16,10.7,30.9,34.7,30.1,,,,,
Indiana Pacers,2016-17,14.4,40.3,35.7,37.5,,,,,
Indiana Pacers,2017-18,15.3,42.3,36.2,40.8,,,,,
Indiana Pacers,2018-19,16.1,45.4,35.6,42.4,,,,,
Indiana Pacers,2019-20,15.6,45.3,34.5,39.7,,,,,
Los Angeles Clippers,2013-14,8.5,24,35.2,23.64,,,,,
Los Angeles Clippers,2014-15,7.5,21.2,35.2,23.1,,,,,
Los Angeles Clippers,2015-16,8.1,23,35.1,23.8,,,,,
Los Angeles Clippers,2016-17,8.6,23,37.6,24.5,,,,,
Los Angeles Clippers,2017-18,9,24.5,36.9,25.6,,,,,
Los Angeles Clippers,2018-19,9.5,25.4,37.4,26.4,,,,,
Los Angeles Clippers,2019-20,10.2,28,36.3,28,,,,,
Los Angeles Lakers,2013-14,9.4,24.8,38.1,27.38,,,,,
Los Angeles Lakers,2014-15,10.1,26.9,37.6,28.4,,,,,
Los Angeles Lakers,2015-16,9.7,26.7,36.4,27.8,,,,,
Los Angeles Lakers,2016-17,10.3,27.4,37.5,28.4,,,,,
Los Angeles Lakers,2017-18,9.5,26.8,35.4,26.1,,,,,
Los Angeles Lakers,2018-19,10,25.8,38.8,26.1,,,,,
Los Angeles Lakers,2019-20,12.4,33.5,37.1,32,,,,,
Memphis Grizzlies,2013-14,4.9,14,35.3,15.29,,,,,
Memphis Grizzlies,2014-15,6.5,18.9,34.4,19.8,,,,,
Memphis Grizzlies,2015-16,7.8,24.6,31.7,24,,,,,
Memphis Grizzlies,2016-17,8.9,25.7,34.6,25.5,,,,,
Memphis Grizzlies,2017-18,10,29.1,34.5,27.8,,,,,
Memphis Grizzlies,2018-19,10.3,31,33.3,27.6,,,,,
Memphis Grizzlies,2019-20,11,31.6,34.9,29.1,,,,,
Miami Heat,2013-14,8.1,22.3,36.4,23.78,,,,,
Miami Heat,2014-15,5.2,15.2,33.9,15.9,,,,,
Miami Heat,2015-16,6.1,18.5,33.1,18.5,,,,,
Miami Heat,2016-17,9.4,26.5,35.4,28.1,,,,,
Miami Heat,2017-18,9.2,26.2,35.2,27.8,,,,,
Miami Heat,2018-19,9.9,28.9,34.2,28.7,,,,,
Miami Heat,2019-20,10.9,31.5,34.7,29,,,,,
Milwaukee Bucks,2013-14,6.7,18.9,35.3,21.04,,,,,
Milwaukee Bucks,2014-15,6.8,20.2,33.5,21.5,,,,,
Milwaukee Bucks,2015-16,6.1,18,33.6,18.3,,,,,
Milwaukee Bucks,2016-17,9.9,27,36.5,28.8,,,,,
Milwaukee Bucks,2017-18,11,30.6,36,31.9,,,,,
Milwaukee Bucks,2018-19,11.3,32.4,34.9,32.1,,,,,
Milwaukee Bucks,2019-20,13.4,35.4,37.9,35.9,,,,,
Minnesota Timberwolves,2013-14,7.3,21.4,34.1,20.49,,,,,
Minnesota Timberwolves,2014-15,6.6,18.3,36.3,20.2,,,,,
Minnesota Timberwolves,2015-16,5.4,15.6,34.5,16.4,,,,,
Minnesota Timberwolves,2016-17,8.8,23.7,37,25.5,,,,,
Minnesota Timberwolves,2017-18,8.8,24.7,35.5,24.8,,,,,
Minnesota Timberwolves,2018-19,13.5,38.2,35.3,34.3,,,,,
Minnesota Timberwolves,2019-20,13.8,38.9,35.5,34.9,,,,,
New York Knicks,2013-14,9.3,24.9,37.2,28.3,,,,,
New York Knicks,2014-15,6.8,19.7,34.7,22.2,,,,,
New York Knicks,2015-16,7.4,21.5,34.6,22.6,,,,,
New York Knicks,2016-17,8.6,24.7,34.8,24.7,,,,,
New York Knicks,2017-18,8.2,23.3,35.2,23.5,,,,,
New York Knicks,2018-19,10,29.5,34,28.7,,,,,
New York Knicks,2019-20,9.6,28.4,33.7,27.2,,,,,
Oklahoma City Thunder,2013-14,8.1,22.4,36.1,22.88,,,,,
Oklahoma City Thunder,2014-15,8.3,22.5,36.7,24.1,,,,,
Oklahoma City Thunder,2015-16,7,18.5,37.5,20.3,,,,,
Oklahoma City Thunder,2016-17,9.2,23.5,39.1,26.2,,,,,
Oklahoma City Thunder,2017-18,8.5,24.1,35.2,24.8,,,,,
Oklahoma City Thunder,2018-19,9.9,25.3,39.2,26.6,,,,,
Oklahoma City Thunder,2019-20,10.7,28.5,37.6,28.1,,,,,
Orlando Magic,2013-14,6.9,19.5,35.3,21.45,,,,,
Orlando Magic,2014-15,7.7,22.7,33.9,22.2,,,,,
Orlando Magic,2015-16,8.3,23.7,34.9,22.6,,,,,
Orlando Magic,2016-17,8.4,25.8,32.7,23.6,,,,,
Orlando Magic,2017-18,10.7,30.4,35.4,29.7,,,,,
Orlando Magic,2018-19,11.4,32.6,34.8,29.9,,,,,
Orlando Magic,2019-20,10.7,30.2,35.5,29.1,,,,,
Philadelphia 76ers,2013-14,7,22.5,31.2,21.1,,,,,
Philadelphia 76ers,2014-15,6.8,19.5,34.7,21.3,,,,,
Philadelphia 76ers,2015-16,7.8,22.2,35,22.9,,,,,
Philadelphia 76ers,2016-17,8.5,26.1,32.8,25.2,,,,,
Philadelphia 76ers,2017-18,10.3,29.3,35.1,29.9,,,,,
Philadelphia 76ers,2018-19,11.4,32.1,35.6,31.9,,,,,
Philadelphia 76ers,2019-20,11.1,32.2,34.3,31,,,,,
